startTime_ISO8601,startTime_secondsSinceMidnight1Jan1970UTC,estimatedSecondsSinceAlert,wantingAnything,whatWanting,wantingIntensity,wantedToFeel_control,wantedToFeel_lessStress,wantedToFeel_goodAboutMe,wantedToFeel_connected,wantedToFeel_comfort,wantedToFeel_novelty,wantedToFeel_calm,wantedToFeel_health,wantedToFeel_energy,wantedToFeel_goodPerson,wantedToFeel_competent,wantedToFeel_acknowledged,wantedToFeel_helpful,wantedToFeel_other,wantedToFeel_specifiedOther,wantedToFeel_nothingInParticular,doing,doing_specifiedOther,withOthers,feelingBadToGood,energy,physically_good,physically_energized,physically_hungry,physically_tired,physically_uncomfortable,physically_other,physically_specifiedOther,physically_noFeeling,feeling_angry,feelingIntensity_angry,feeling_anxious,feelingIntensity_anxious,feeling_awe,feelingIntensity_awe,feeling_content,feelingIntensity_content,feeling_frustrated,feelingIntensity_frustrated,feeling_grateful,feelingIntensity_grateful,feeling_happy,feelingIntensity_happy,feeling_jealous,feelingIntensity_jealous,feeling_loving,feelingIntensity_loving,feeling_proud,feelingIntensity_proud,feeling_restless,feelingIntensity_restless,feeling_sad,feelingIntensity_sad,feeling_other,feeling_specifiedOther,feeling_noEmotion,thinkingOverAndOver,comparingToOthers,lonely,selfWorth,appreciating,stressed
"2017-04-26T09:42:56-07:00",1493224976,84,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"other","Listening to a judge",1,0.502,0.637,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.229,,0,0.502,0,0.221
"2017-04-25T17:04:10-07:00",1493165050,5,2,"Research career fair attendees ",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"work",,1,0.384,0.382,0,0,1,0,0,0,,0,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.183,,0,0.363,0,0.572
"2017-04-24T17:55:55-07:00",1493081755,7953,1,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,"talk",,2,0.287,0.329,0,0,0,0,0,0,,1,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.502,0,0.612
"2017-04-23T18:07:20-07:00",1492996040,16571,1,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,0,"other","Walking ",0,0.422,0.502,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,0.502,,0.048,0.39,0.118,0.11
"2017-04-20T21:13:22-07:00",1492748002,946,2,"Get home and finish presentation",0.596,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,"talk",,2,0.769,0.667,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,0,,0,0.504,0.59,0
"2017-04-20T12:01:37-07:00",1492714897,54125,2,"Finish my capstone presentation ",0.512,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,"work",,2,0.677,0.5,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,0,,0,0.5,0,0.114
"2017-04-18T21:27:51-07:00",1492576071,4085,1,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,"eat",,2,0.315,0.365,0,0,0,0,0,0,,1,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.484,,0,0.414,0,0.675
"2017-04-18T13:04:16-07:00",1492545856,1558,2,"Socialize with classmates",0.341,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,"talk",,2,0.582,0.731,0,0,1,0,0,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,0,,0,0.502,0,0.108
"2017-04-17T16:10:17-07:00",1492470617,6399,2,"Finish capstone ",0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,"work",,1,0.52,0.627,0,0,0,0,0,0,,1,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.347,,0.11,0.498,0,0.699
"2017-04-16T09:57:45-07:00",1492361865,8,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"sleep",,0,0.667,0.351,0,0,0,1,0,0,,0,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.502,0.375,0
